Project,BugID,BugKey,File,PatternType,Confidence,EvidenceSource,BuggyLine,FixedLine,AssignmentLine,OverwriteLine,CorrectSymbol,WrongSymbol,BuggySnippet,FixedSnippet,DiffHunk,Reason
Chart,24,Chart-24,source/org/jfree/chart/renderer/GrayPaintScale.java,WRONG_VAR_SUBSTITUTION_DEAD_ASSIGNMENT,DIFF_CONFIRMED,patch+hunk+buggy_liveness,126,126,125,,v,value,int g = (int) ((value - this.lowerBound) / (this.upperBound,int g = (int) ((v - this.lowerBound) / (this.upperBound,public class GrayPaintScale,'v' assigned at line 125 and never read before line 126; buggy code reads 'value' instead.
Cli,10,Cli-10,src/java/org/apache/commons/cli/Parser.java,PRIVATE_FIELD_ASSIGNED_NEVER_READ,DIFF_CONFIRMED,patch+hunk+buggy_class_scan,46,,46,,,requiredOptions,this.requiredOptions = options.getRequiredOptions();,,public abstract class Parser implements CommandLineParser {,Private field 'requiredOptions' is assigned in changed buggy code and has no reads in class file.
Closure,25,Closure-25,src/com/google/javascript/jscomp/TypeInference.java,ASSIGNED_THEN_OVERWRITTEN,DIFF_CONFIRMED,patch+hunk+buggy_method_flow,1038,,1038,1060,,scope,"scope = traverse(constructor, scope);",,class TypeInference,Variable 'scope' assigned at line 1038 and overwritten at line 1060 before any read.
Closure,110,Closure-110,src/com/google/javascript/jscomp/ScopedAliases.java,UNUSED_LOCAL_VARIABLE,DIFF_CONFIRMED,patch+hunk+buggy_method_scan,371,371,371,,,varNode,Node varNode = parent;,v.getInitialValue() :,class ScopedAliases implements HotSwapCompilerPass {,Local variable 'varNode' is declared in changed buggy code and has no reads in its method.
Closure,137,Closure-137,src/com/google/javascript/jscomp/MakeDeclaredNamesUnique.java,UNUSED_LOCAL_VARIABLE,DIFF_CONFIRMED,patch+hunk+buggy_method_scan,244,241,244,,,nameMap,"private Map<Var, String> nameMap = Maps.newHashMap();",private Set<String> referencedNames = ImmutableSet.of();,class MakeDeclaredNamesUnique,Local variable 'nameMap' is declared in changed buggy code and has no reads in its method.
Closure,137,Closure-137,src/com/google/javascript/jscomp/MakeDeclaredNamesUnique.java,UNUSED_LOCAL_VARIABLE,DIFF_CONFIRMED,patch+hunk+buggy_method_scan,299,314,299,,,newName,"String newName = getOrginalNameInternal(oldName, index);",String name  = v.getName();,class MakeDeclaredNamesUnique,Local variable 'newName' is declared in changed buggy code and has no reads in its method.
Closure,137,Closure-137,src/com/google/javascript/jscomp/MakeDeclaredNamesUnique.java,UNUSED_LOCAL_VARIABLE,DIFF_CONFIRMED,patch+hunk+buggy_method_scan,307,316,307,,,recurseScopes,boolean recurseScopes = false;,String newName = getOrginalName(name);,class MakeDeclaredNamesUnique,Local variable 'recurseScopes' is declared in changed buggy code and has no reads in its method.
Closure,148,Closure-148,src/com/google/javascript/jscomp/SourceMap.java,UNUSED_LOCAL_VARIABLE,DIFF_CONFIRMED,patch+hunk+buggy_method_scan,50,51,50,,,id,int id;,int id = UNMAPPED;,public class SourceMap {,Local variable 'id' is declared in changed buggy code and has no reads in its method.
Closure,149,Closure-149,src/com/google/javascript/jscomp/CompilerOptions.java,UNUSED_LOCAL_VARIABLE,DIFF_CONFIRMED,patch+hunk+buggy_method_scan,588,588,588,,,outputCharset,public Charset outputCharset;,String outputCharset;,"public class CompilerOptions implements Serializable, Cloneable {",Local variable 'outputCharset' is declared in changed buggy code and has no reads in its method.
Closure,163,Closure-163,src/com/google/javascript/jscomp/AnalyzePrototypeProperties.java,UNUSED_LOCAL_VARIABLE,DIFF_CONFIRMED,patch+hunk+buggy_method_scan,665,734,665,,,scope,Scope scope;,final Scope scope;,class AnalyzePrototypeProperties implements CompilerPass {,Local variable 'scope' is declared in changed buggy code and has no reads in its method.
