Project,BugID,File,Line,Rule,Code_Snippet,Description
Chart,1,source/org/jfree/chart/ChartFactory.java,424,UnusedAssignment,TextTitle subtitle = null;,The initializer for variable 'subtitle' is never used (overwritten on line 425)
Chart,1,source/org/jfree/chart/ChartFactory.java,536,UnusedAssignment,TextTitle subtitle = null;,The initializer for variable 'subtitle' is never used (overwritten on line 537)
Chart,1,source/org/jfree/chart/ChartFactory.java,1173,UnusedAssignment,ValueAxis domainAxis = null;,The initializer for variable 'domainAxis' is never used (overwritten on lines 1175 and 1180)
Chart,1,source/org/jfree/chart/ChartFactory.java,1388,UnusedAssignment,XYToolTipGenerator toolTipGenerator = null;,The initializer for variable 'toolTipGenerator' is never used (overwritten on line 1389)
Chart,1,source/org/jfree/chart/ChartPanel.java,2748,UnusedAssignment,separator = false;,The value assigned to variable 'separator' is never used (overwritten on line 2755)
Chart,1,source/org/jfree/chart/ChartPanel.java,2761,UnusedAssignment,separator = false;,The value assigned to variable 'separator' is never used (overwritten on line 2768)
Chart,1,source/org/jfree/chart/ChartPanel.java,2774,UnusedAssignment,separator = false;,The value assigned to variable 'separator' is never used (overwritten on line 2781)
Chart,1,source/org/jfree/chart/ChartPanel.java,2787,UnusedAssignment,separator = false;,The value assigned to variable 'separator' is never used
Chart,1,source/org/jfree/chart/ChartUtilities.java,681,UnusedAssignment,ToolTipTagFragmentGenerator toolTipTagFragmentGenerator = null;,The initializer for variable 'toolTipTagFragmentGenerator' is never used (overwritten on lines 684 and 688)
Chart,1,source/org/jfree/chart/JFreeChart.java,1318,UnusedAssignment,Object retValue = null;,"The initializer for variable 'retValue' is never used (overwritten on lines 1325, 1334, 1342 and 1351)"
Chart,1,source/org/jfree/chart/annotations/CategoryLineAnnotation.java,98,UnusedAssignment,private transient Paint paint = Color.black;,The field initializer for 'paint' is never used (overwritten on line 134)
Chart,1,source/org/jfree/chart/annotations/CategoryLineAnnotation.java,101,UnusedAssignment,private transient Stroke stroke = new BasicStroke(1.0f);,The field initializer for 'stroke' is never used (overwritten on line 135)
