Project,BugID,File,Line,Rule,Code_Snippet,Description
Chart,1,/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java,434,UnusedAssignment,CategoryToolTipGenerator result = null;,The initializer for variable 'result' is never used (overwritten on line 435)
Chart,1,/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java,1112,UnusedAssignment,Rectangle2D bounds = null;,The initializer for variable 'bounds' is never used (overwritten on lines 1129 and 1149)
Chart,1,/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java,1618,UnusedAssignment,ItemLabelPosition position = null;,The initializer for variable 'position' is never used (overwritten on lines 1620 and 1623)
Chart,1,/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java,1651,UnusedAssignment,Iterator iterator = null;,The initializer for variable 'iterator' is never used (overwritten on lines 1653 and 1656)
Chart,2,/source/org/jfree/data/general/DatasetUtilities.java,670,UnusedAssignment,Range result = null;,The initializer for variable 'result' is never used (overwritten on lines 674 and 677)
Chart,2,/source/org/jfree/data/general/DatasetUtilities.java,703,UnusedAssignment,Range result = null;,The initializer for variable 'result' is never used (overwritten on lines 706 and 709)
Chart,2,/source/org/jfree/data/general/DatasetUtilities.java,812,UnusedAssignment,Range result = null;,The initializer for variable 'result' is never used (overwritten on lines 815 and 818)
Chart,2,/source/org/jfree/data/general/DatasetUtilities.java,842,UnusedAssignment,Range result = null;,The initializer for variable 'result' is never used (overwritten on lines 845 and 848)
Chart,2,/source/org/jfree/data/general/DatasetUtilities.java,882,UnusedAssignment,Range result = null;,The initializer for variable 'result' is never used (overwritten on lines 885 and 888)
Chart,2,/source/org/jfree/data/general/DatasetUtilities.java,914,UnusedAssignment,Range result = null;,The initializer for variable 'result' is never used (overwritten on lines 917 and 921)
Chart,2,/source/org/jfree/data/general/DatasetUtilities.java,1513,UnusedAssignment,Number result = null;,The initializer for variable 'result' is never used (overwritten on lines 1542 and 1545)
Chart,2,/source/org/jfree/data/general/DatasetUtilities.java,1568,UnusedAssignment,Number result = null;,The initializer for variable 'result' is never used (overwritten on lines 1598 and 1601)
Chart,3,/source/org/jfree/data/time/TimeSeries.java,596,UnusedAssignment,boolean added = false;,"The initializer for variable 'added' is never used (overwritten on lines 600, 606 and 612)"
Chart,4,/source/org/jfree/chart/plot/XYPlot.java,3814,UnusedAssignment,ValueAxis valueAxis = null;,The initializer for variable 'valueAxis' is never used (overwritten on lines 3820 and 3823)
Chart,4,/source/org/jfree/chart/plot/XYPlot.java,3841,UnusedAssignment,ValueAxis valueAxis = null;,The initializer for variable 'valueAxis' is never used (overwritten on lines 3847 and 3850)
Chart,4,/source/org/jfree/chart/plot/XYPlot.java,3877,UnusedAssignment,boolean paintLine = false;,The initializer for variable 'paintLine' is never used (overwritten on line 3879)
Chart,4,/source/org/jfree/chart/plot/XYPlot.java,3928,UnusedAssignment,boolean paintLine = false;,The initializer for variable 'paintLine' is never used (overwritten on line 3930)
Chart,4,/source/org/jfree/chart/plot/XYPlot.java,4199,UnusedAssignment,Line2D line = null;,The initializer for variable 'line' is never used (overwritten on lines 4203 and 4209)
Chart,4,/source/org/jfree/chart/plot/XYPlot.java,4265,UnusedAssignment,Line2D line = null;,The initializer for variable 'line' is never used (overwritten on lines 4269 and 4275)
Chart,4,/source/org/jfree/chart/plot/XYPlot.java,5794,UnusedFormalParameter,"XYDataset dataset, Object source) {",Avoid unused method parameters such as 'source'.
Chart,9,/source/org/jfree/data/time/TimeSeries.java,506,UnusedAssignment,boolean added = false;,"The initializer for variable 'added' is never used (overwritten on lines 510, 516 and 522)"
Chart,12,/source/org/jfree/chart/plot/MultiplePiePlot.java,363,UnusedAssignment,int pieCount = 0;,The initializer for variable 'pieCount' is never used (overwritten on lines 365 and 368)
Chart,12,/source/org/jfree/chart/plot/MultiplePiePlot.java,399,UnusedAssignment,String title = null;,The initializer for variable 'title' is never used (overwritten on lines 401 and 404)
Chart,12,/source/org/jfree/chart/plot/MultiplePiePlot.java,408,UnusedAssignment,PieDataset piedataset = null;,The initializer for variable 'piedataset' is never used (overwritten on lines 412 and 416)
Chart,12,/source/org/jfree/chart/plot/MultiplePiePlot.java,525,UnusedLocalVariable,int section = 0;,Avoid unused local variables such as 'section'.
Chart,14,/source/org/jfree/chart/plot/CategoryPlot.java,828,UnusedAssignment,RectangleEdge result = null;,The initializer for variable 'result' is never used (overwritten on lines 831 and 834)
Chart,14,/source/org/jfree/chart/plot/CategoryPlot.java,3387,UnusedAssignment,Line2D line = null;,The initializer for variable 'line' is never used (overwritten on lines 3391 and 3397)
Chart,14,/source/org/jfree/chart/plot/XYPlot.java,3394,UnusedAssignment,ValueAxis valueAxis = null;,The initializer for variable 'valueAxis' is never used (overwritten on lines 3398 and 3401)
